id,depth,qc,fs
972,0.0,0.0,0.0
972,0.01,0.0,0.0
972,0.02,0.0,0.0
972,0.03,0.0,0.0
972,0.04,0.01,0.0
972,0.05,0.02,0.9
972,0.06,0.03,1.7
972,0.07,0.11,3.4
972,0.08,0.22,4.7
972,0.09,0.34,6.0
972,0.1,0.38,7.1
972,0.11,0.43,0.8
972,0.12,0.51,-5.5
972,0.13,0.51,-1.9
972,0.14,0.6,1.6
972,0.15,0.69,8.9
972,0.16,0.87,10.5
972,0.17,0.9,10.2
972,0.18,0.96,11.2
972,0.19,1.04,11.2
972,0.2,1.46,11.0
972,0.21,1.76,10.8
972,0.22,1.76,5.1
972,0.23,2.06,8.7
972,0.24,2.62,12.3
972,0.25,2.68,23.3
972,0.26,3.0,25.6
972,0.27,3.35,26.2
972,0.28,3.61,25.7
972,0.29,3.69,25.2
972,0.3,2.81,24.8
972,0.31,2.81,25.9
972,0.32,2.7,27.0
972,0.33,2.6,27.0
972,0.34,2.7,35.4
972,0.35,2.79,36.0
972,0.36,3.02,36.2
972,0.37,2.96,30.6
972,0.38,2.96,24.9
972,0.39,2.17,-66.8
972,0.4,2.15,-46.5
972,0.41,2.18,-26.2
972,0.42,2.2,-5.7
972,0.43,3.35,-3.1
972,0.44,4.73,-0.6
972,0.45,5.73,8.2
972,0.46,7.11,10.1
972,0.47,9.41,12.1
972,0.48,11.27,12.1
972,0.49,11.27,22.0
972,0.5,13.3,23.7
972,0.51,13.88,22.1
972,0.52,13.47,26.6
972,0.53,12.99,30.0
972,0.54,12.57,31.2
972,0.55,12.57,33.9
972,0.56,11.99,36.1
972,0.57,11.53,36.9
972,0.58,11.01,36.3
972,0.59,10.35,35.8
972,0.6,9.97,36.1
972,0.61,9.43,36.2
972,0.62,8.68,36.4
972,0.63,8.16,36.4
972,0.64,8.16,38.6
972,0.65,7.75,36.9
972,0.66,7.5,38.7
972,0.67,7.42,36.9
972,0.68,7.25,35.2
972,0.69,7.29,37.0
972,0.7,7.24,38.8
972,0.71,6.96,42.8
972,0.72,6.96,46.8
972,0.73,6.95,49.4
972,0.74,6.72,52.0
972,0.75,6.63,51.7
972,0.76,6.53,54.5
972,0.77,6.53,57.0
972,0.78,6.03,59.4
972,0.79,5.22,59.0
972,0.8,5.22,60.0
972,0.81,5.1,60.2
972,0.82,5.12,59.9
972,0.83,5.14,59.6
972,0.84,5.19,58.2
972,0.85,5.18,56.8
972,0.86,4.89,55.8
972,0.87,4.94,67.0
972,0.88,4.99,68.8
972,0.89,5.11,66.1
972,0.9,5.02,63.3
972,0.91,5.09,61.2
972,0.92,5.04,65.7
972,0.93,5.04,70.1
972,0.94,5.04,80.1
972,0.95,5.22,85.0
972,0.96,4.75,79.8
972,0.97,4.75,74.6
972,0.98,4.73,64.1
972,0.99,4.1,64.0
972,1.0,3.57,64.0
972,1.01,3.39,64.0
972,1.02,3.43,64.1
972,1.03,3.47,64.1
972,1.04,3.59,62.2
972,1.05,3.58,60.4
972,1.06,3.59,56.7
972,1.07,3.6,60.2
972,1.08,3.6,54.4
972,1.09,3.63,51.7
972,1.1,3.67,38.0
972,1.11,3.67,35.5
972,1.12,3.67,35.3
972,1.13,3.83,35.1
972,1.14,3.64,34.9
972,1.15,3.49,34.6
972,1.16,3.49,33.7
972,1.17,3.47,34.4
972,1.18,3.47,34.8
972,1.19,3.46,34.1
972,1.2,3.53,33.4
972,1.21,3.45,31.5
972,1.22,3.48,31.4
972,1.23,3.51,30.9
972,1.24,3.58,25.1
